n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40
87,64,89,85,87,64,70,67,85,92,72,61,72,71,64,72,84,85,82,77,70,84,76,82,88,64,61,74,64,64,88,66,73,66,76,62,72,85,89,66
81,66,84,63,74,74,69,77,68,94,68,68,92,76,65,66,74,82,86,64,75,71,83,76,61,62,79,72,72,76,84,86,92,77,77,75,72,78,65,76
74,62,66,80,80,81,74,74,60,81,81,80,70,68,81,87,90,77,83,73,61,75,84,79,62,72,79,69,86,67,74,70,78,75,77,75,68,66,87,74
67,79,81,70,90,59,80,82,65,76,64,68,62,90,83,74,79,76,65,87,77,75,72,91,73,70,86,82,69,80,78,64,79,77,74,63,70,75,79,69
67,82,72,57,67,74,78,76,82,73,86,75,81,79,75,71,79,64,73,79,77,75,73,92,81,64,86,71,86,68,68,66,81,77,69,61,83,84,71,77
92,80,69,74,79,75,81,70,72,62,79,79,71,75,60,82,81,82,57,67,60,77,81,86,73,64,75,69,67,81,71,80,79,80,72,94,86,70,71,77
82,68,73,72,80,75,71,71,71,72,74,80,72,88,77,81,70,70,62,72,80,77,76,56,80,82,85,65,67,83,60,75,85,76,79,80,71,90,67,85
67,77,79,79,71,97,69,75,65,57,66,76,67,76,83,78,77,71,75,79,81,69,67,70,85,83,84,70,82,96,80,83,69,74,69,78,54,81,72,69
78,63,80,75,78,76,67,81,79,76,75,75,63,75,77,71,76,77,68,68,77,83,91,82,75,83,77,68,65,65,86,75,79,71,70,68,72,81,88,66
81,77,63,75,71,76,71,71,79,78,69,65,76,71,67,74,68,80,76,75,93,74,88,63,76,90,77,77,83,81,68,70,76,71,68,57,79,88,74,84
